gamma,n_0,A_V_max,M_gas,r_out
0.7865168539325842,1.1114029869356505,0.0011368767068005484,17463055.446656205,7582.147632527186
0.8089887640449438,1.1114029869356505,0.0009646821741238782,12988288.949333541,7343.956005584251
0.8314606741573034,1.1114029869356505,0.0008223423186499727,9636943.202771971,7100.273543946394
0.8539325842696629,1.1114029869356505,0.0007040256564349465,7094668.408345628,6834.508863468134
0.8764044943820224,1.1114029869356505,0.0006058902219666966,5225600.172868255,6574.517014551809
0.898876404494382,1.1114029869356505,0.0005230464117769845,3738202.3069395167,6231.630561549704
0.9213483146067416,1.1114029869356505,0.00045431713326106395,2693571.871263105,5919.993679689113
0.9438202247191011,1.1114029869356505,0.0003957702232011611,1860046.4365329943,5502.309349073441
0.9662921348314606,1.1114029869356505,0.0003471598149710384,1304796.5888444034,5145.115525585811
0.9887640449438202,1.1114029869356505,0.00030577959683715777,887163.9546170406,4729.611847201209
1.0112359550561798,1.1114029869356505,0.0002699815158703689,560214.7715519388,4180.763242115695
1.0337078651685392,1.1114029869356505,0.00024033662157730694,368550.0889819743,3762.532511236078
1.0561797752808988,1.1114029869356505,0.00021498927911072936,236639.0724140559,3335.7099322792765
1.0786516853932584,1.1114029869356505,0.00019291314245732292,141292.4208230181,2839.3423112240325
1.101123595505618,1.1114029869356505,0.00017338135663505033,74262.57675642746,2251.0970063077907
1.1235955056179776,1.1114029869356505,0.00015779124722368527,47682.08803129788,1974.4801896413992
1.146067415730337,1.1114029869356505,0.00014401398985950636,28579.81209394797,1663.3336602522902
1.1685393258426966,1.1114029869356505,0.00013159499943961257,14955.544082951057,1295.5369615323887
1.1910112359550562,1.1114029869356505,0.00012074049425117716,7569.886979282901,984.4562859391021
1.2134831460674156,1.1114029869356505,0.00011160793328716918,4289.862358796023,791.3529222950704
1.2359550561797752,1.1114029869356505,0.00010330412775103146,2175.864232713938,593.9979922191724
1.2584269662921348,1.1114029869356505,9.569170899114191e-05,972.2543925114219,411.47213019566425
1.2808988764044944,1.1114029869356505,8.909017955744464e-05,465.48997105373036,293.8502442156478
1.303370786516854,1.1114029869356505,8.375794131421127e-05,294.97101037953547,245.3283317781967
1.3258426966292134,1.1114029869356505,7.850135789163702e-05,146.89416923012033,176.48810763296146
1.348314606741573,1.1114029869356505,7.415492848146643e-05,91.81015306922913,144.37015214427197
1.3707865168539326,1.1114029869356505,6.961956004400619e-05,41.1327192733024,95.72828013907571
1.393258426966292,1.1114029869356505,6.60162900329463e-05,25.49358572238856,76.78621454750228
1.4157303370786516,1.1114029869356505,6.248822657722413e-05,13.950729683523232,56.575909226635886
1.4382022471910112,1.1114029869356505,5.935070353606502e-05,8.26293665886889,43.463404628430986
1.4606741573033708,1.1114029869356505,5.7025040734266624e-05,6.946329307016943,41.59095032201433
1.4831460674157304,1.1114029869356505,5.375033434967439e-05,3.010223413755319,25.68157416616591
1.5056179775280898,1.1114029869356505,5.203057429431195e-05,2.912993775074292,26.745739556238973
1.5280898876404494,1.1114029869356505,4.94942966376601e-05,1.6214710074966778,19.15797424929412
1.550561797752809,1.1114029869356505,4.7886659232661646e-05,1.4428129753978751,18.76384102066931
1.5730337078651684,1.1114029869356505,4.547876500377161e-05,0.7639298709903102,12.772891616959612
1.595505617977528,1.1114029869356505,4.40135788176115e-05,0.6497115021654708,12.026431583641719
1.6179775280898876,1.1114029869356505,4.2549595976893116e-05,0.5291534860272249,10.953026228558212
1.6404494382022472,1.1114029869356505,4.08244050318242e-05,0.3588447833376925,8.697589298817268
